127.0.0.1 - - [20/Oct/2025:09:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:30 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:45 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:13:45 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:14:00 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:14:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:14:00 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:14:49 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:14:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:14:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:15:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:15:49 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:28 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:28 -0300] "POST /aformula/pages/principal.xhtml HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:29 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:29 -0300] "GET /aformula/pages/principal.xhtml HTTP/1.1" 200 20855
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:30 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:30 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:30 -0300] "GET /aformula/privateChat/username=BRUNA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:30 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:30 -0300] "GET /aformula/javax.faces.resource/images/favicon.ico.xhtml HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:32 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:33 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:33 -0300] "GET /aformula/image?path=C:/Aformula_Imagens/usuario.png&pfdrid_c=true HTTP/1.1" 200 12039
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:33 -0300] "GET /aformula/pages/controleConvenio.xhtml HTTP/1.1" 200 113810
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:33 -0300] "-" 400 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:33 -0300] "GET /aformula/privateChat/username=BRUNA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:33 -0300] "GET /aformula/resources/som/notificacao.mp3 HTTP/1.1" 206 45556
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:16:48 -0300] "-" 400 -
